id,name,abadi_type,diag,ostan,shahrestan,bakhsh,dehestan,amar_code
1,(1ده عبدالله شمس الدینی)سنجدو,0,,31,61,1015,2042,2102020003821098
2,(اسلامیه),0,,10,290,274,1172,2911030001511836
3,(کلوییم)کلوییم,0,,14,288,206,778,1908010001235007
4,]چشمه گز,0,,11,69,48,1041,923010001158125
5,/باتمانقلنج علیا/باش باتمانقلنج,0,,1,440,1065,61,311030001037808
6,/سهیلان / سمیلان,0,,29,216,295,1255,2207010001521665
7,/شرکت تولیدی جبال بافق /,0,,31,61,1015,2297,2102020001510103
8,/عباس قشلاقی /نوری کندی,0,,3,395,580,113,2404040001032562
9,/قشلاق مقدم شابنده /قشلاق شاه بنده,0,,1,154,531,2143,326020001026266
10,/محموداباد/نوری کندی,0,,3,395,580,113,2404040001032552
11,13آبان(چاه نیازمحمد),0,,16,263,807,1513,1114010001198649
12,1چهل نفره شهیداکبری,0,,31,22,1013,2308,2101020002821754
13,2چاه قادری,0,,31,22,1013,2308,2101020002821760
14,2چاه کوثر1معروف به حبیب شاکر,0,,31,22,1013,2308,2101020002821759
15,3چاه تعاونی 19احمدمحمدی احمدابادی,0,,31,22,1013,2308,2101020002821756
16,آب  دلواد,0,,15,247,342,2589,2008010002240288
17,آب اژدون,0,,13,183,345,1424,608010004061434
18,آب اژدون شهی مرده,0,,13,183,345,1424,608010004061435
19,آب امیری,0,,13,95,144,570,606040002060678
20,آب انار,0,,13,45,3,13,621010001065703
21,آب انار,0,,13,46,42,2279,602010003054579
22,آب انار,0,,16,240,805,2157,1106040005199784
23,آب انار سیدنظر حسینی,0,,13,183,403,97,608040002364657
24,آب انارک,0,,13,59,759,2567,615020006806336
25,آب انارک,0,,17,175,831,313,705030001074746
26,آب اناری,0,,13,183,345,2294,608010007061436
27,آب اناری,0,,13,394,541,579,613040001067296
28,آب اناری,0,,26,41,315,1318,1501020002815161
29,آب اناری کهزاد,0,,13,394,541,579,613040001067297
30,آب انبار,0,,16,311,528,2129,1119020001187150
31,آب انبار,0,,30,443,391,1592,1304050003209886
32,آب انبار,0,,31,22,231,1205,2101010002821866
33,آب انبار,0,,31,409,1019,2440,2104010004821901
34,آب انبار بالا,0,,13,46,42,834,602010001054479
35,آب انبار بنیاد مسکن,0,,31,22,231,1308,2101010003821887
36,آب انبار پایین,0,,13,46,42,834,602010001054480
37,آب انبار ثقفی,0,,31,22,1013,2308,2101020002821890
38,آب انبار رودخانه دارین,0,,10,290,712,2372,2911020003511769
39,آب انبار ریز آب,0,,31,22,231,1205,2101010002821874
40,آب انبار غدیر اژدر,0,,31,414,1060,2487,2106020001821800
41,آب انبار مرتع سه چاهون,0,,31,92,8,42,2111010001921353
42,آب انبار میرها,0,,31,22,231,1308,2101010003821884
43,آب انجیرک سفلی,0,,13,394,775,699,613030001067170
44,آب انجیرک علیا,0,,13,394,775,699,613030001067171
45,آب بادام,0,,13,45,3,13,621010001065704
46,آب باددو,0,,17,329,842,2296,720020002079115
47,آب باران دو,0,,13,12,184,2,626020002060699
48,آب باران یک,0,,13,12,184,2,626020002060679
49,آب باره,0,,20,199,863,800,1207020001203292
50,آب باریک,0,,13,394,775,700,613030002067298
51,آب باریک,0,,18,91,856,1335,2601040004237418
52,آب باریک,0,,20,98,861,1508,1202030006202571
53,آب باریک,0,,20,195,862,891,1210010002205124
54,آب باریک,0,,20,199,863,1817,1207020005204938
55,آب باریک,0,,20,321,211,790,1205040001205556
56,آب باریک,0,,20,321,867,529,1205020003205346
57,آب باریک,0,,30,93,1003,12,1307020004209771
58,آب باریک,0,,30,209,1006,1215,1308030002209332
59,آب باریک / میر,0,,26,352,515,1344,1506040001451529
60,آب باریک بالا,0,,26,253,447,1795,1509010001218054
61,آب باریک پایین,0,,26,253,447,1795,1509010001218053
62,آب باریکو,0,,17,373,847,876,711040001082337
63,آب باریکی,1,6033,26,352,954,2053,1506030001220246
64,آب بخشان,0,,28,269,339,2286,7020002004888
65,آب برچینه,0,,15,6,521,1771,2006020002500199
66,آب برین,0,,16,433,12,721,1107060001186696
67,آب بویی,0,,7,124,674,292,1802020002231213
68,آب بهار دو,0,,13,394,775,699,613030001067174
69,آب بهار یک,0,,13,394,775,699,613030001067175
70,آب بید,0,,13,45,3,2041,621010002065705
71,آب بید,0,,13,45,753,1579,621030001065706
72,آب بید,0,,13,46,42,1907,602010002361120
73,آب بید,0,,13,46,42,2279,602010003054580
74,آب بید,0,,13,95,144,570,606040002060680
75,آب بید,0,,13,374,214,623,617020001066550
76,آب بید,0,,13,374,214,813,617020002066549
77,آب بید,0,,13,394,541,584,613040002067299
78,آب بید,0,,26,193,951,1112,1505020002217442
79,آب بید انجیر سیاه,0,,23,360,898,2266,1703020004817999
80,آب بید پیرشمس,0,,17,210,361,1225,726010001085380
81,آب بید حاجی بابا,0,,13,359,773,2103,620020002065336
82,آب بید گردکانه,0,,26,109,948,2442,1508010004451112
83,آب بید1,0,,21,138,31,1765,803060002381399
84,آب بیدعلی باز,0,,13,359,773,2103,620020002065337
85,آب بیدگله بادی,0,,13,45,3,13,621010001065707
86,آب بیدگله توک,0,,13,45,753,1874,621030002065708
87,آب پایین,0,,28,190,982,1109,5010001002371
88,آب پونه,0,,4,127,600,1233,1019020001176522
89,آب تاریکان پایین,0,,29,216,295,1255,2207010001521661
90,آب تر(موتورانوربلوچزهی),0,,16,152,129,514,1103040001410830
91,آب توصله,0,,13,359,773,2103,620020002364520
92,آب جاز,0,,13,45,753,1579,621030001065709
93,آب جاز,0,,13,183,345,1424,608010004061437
94,آب جازک,0,,13,183,403,1612,608040005364480
95,آب جازی,0,,13,51,756,898,604030003057803
96,آب جهان,1,5082,17,175,831,313,705030001074743
97,آب چنار,0,,13,45,199,756,621020001065710
98,آب چنار,0,,13,51,756,893,604030002057950
99,آب چنار,0,,17,314,841,631,709030003078659
100,آب چنار,0,,26,157,949,1916,1503060007218435
101,آب چندار,0,,13,45,3,13,621010001065712
102,آب چندار,0,,13,45,3,2041,621010002065711
103,آب چندار,0,,13,45,199,2249,621020002061980
104,آب چوییه,0,,4,37,510,601,1002020002173981
105,آب چهرو,0,,13,45,3,13,621010001065713
106,آب چیتک,0,,13,183,403,1612,608040005061438
107,آب حاجت چهار بیشه,0,,23,360,898,2266,1703020004471937
108,آب حمام,0,,13,394,541,579,613040001058370
109,آب حمام امیرالمومنین,0,,13,394,541,579,613040001058369
110,آب خارک,0,,4,37,510,633,1002020003174487
111,آب خرزهره,0,,13,45,753,1579,621030001065714
112,آب خرزهره,0,,13,51,756,533,604030001057951
113,آب خرزهره,0,,13,95,144,570,606040002060681
114,آب خوران,0,,16,225,1064,2498,1105030002270147
115,آب خوگان,0,,13,51,756,893,604030002057804
116,آب دره,0,,13,45,753,1874,621030002065715
117,آب دره تازه,0,,13,183,403,1045,608040001362667
118,آب دلو,0,,13,59,759,1870,615020003056980
119,آب دوزک,0,,16,225,1064,2498,1105030002416013
120,آب دیفه,0,,13,183,403,1612,608040005061439
121,آب راک دو,0,,13,51,756,893,604030002057805
122,آب راک یک,0,,13,51,756,893,604030002057806
123,آب راه,0,,13,51,268,1099,604020002057518
124,آب رحمت,0,,26,41,315,1317,1501020001451669
125,آب رزک,0,,13,45,753,1874,621030002065716
126,آب زالو,0,,13,51,756,2324,604030006362141
127,آب زالو بهرام,0,,13,394,430,1730,613050001067426
128,آب زالو عرب,0,,13,394,430,1730,613050001067427
129,آب زالوییه,0,,29,149,996,1016,2208020001822023
130,آب زنی,0,,23,360,898,2266,1703020004817998
131,آب زهره,0,,13,46,42,834,602010001054481
132,آب زهله انارکی,0,,13,46,42,1907,602010002054683
133,آب زهلی,0,,13,45,3,2041,621010002065717
134,آب زهلی,0,,13,51,756,533,604030001057757
135,آب سبز,0,,7,186,473,751,1804010001231863
136,آب سرخ,0,,22,128,903,918,512010001050786
137,آب سفیداب(مرکزنگهداری از سالمندان),0,,4,332,612,2063,1010030001180260
138,آب سنج,0,,17,314,841,95,709030001079358
139,آب سوراخ,0,,13,51,268,1142,604020003057520
140,آب سوراخ,0,,13,183,345,1424,608010004061440
141,آب سیلا,0,,13,183,403,1045,608040001061983
142,آب ‌شباندر,0,,26,157,120,1376,1503020002218668
143,آب شوره,0,,13,46,42,834,602010001054482
144,آب شیب,0,,16,433,813,2314,1107050002191921
145,آب شیرین,0,,4,332,612,2431,1010030003179093
146,آب شیرین,0,,16,189,800,2609,1112010003185925
147,آب شیرین قره آغاج,0,,17,329,40,1278,720010002371967
148,آب علی,0,,16,52,794,873,1101050002711647
149,آب قلعه,0,,13,45,3,13,621010001065718
150,آب قنات,0,,13,45,3,2041,621010002065719
151,آب کُت,0,,26,157,305,1182,1503050001219747
152,آب کک,0,,4,194,605,2599,1021010004810327
153,آب کنار,0,,13,95,144,570,606040002362367
154,آب کنار,0,,13,183,403,1612,608040005061441
155,آب کنار,1,3667,25,81,932,794,103010001008663
156,آب کولک,0,,13,45,3,2041,621010002065720
157,آب گازرون,0,,23,97,893,433,1705020001227516
158,آب گرازی,0,,13,59,759,1870,615020003056981
159,آب گردین,0,,16,311,808,2336,1119010002911830
160,آب گرم,0,,17,175,831,313,705030001074744
161,آب گرم,0,,28,387,988,297,9010001007425
162,آب گرم,0,,29,416,358,1478,2205020003522197
163,آب گرمک,0,,13,183,403,1520,608040004061802
164,آب گرمک بالا,0,,26,41,275,546,1501040001216799
165,آب گرمک‌پایین,0,,26,41,275,546,1501040001216798
166,آب گرمو,0,,7,185,25,116,1803040001231794
167,آب گرمه,0,,13,374,774,1083,617010001066551
168,آب گرمه,0,,13,394,430,1730,613050001067428
169,آب گرمه,0,,26,352,954,2054,1506030002815052
170,آب گل,0,,13,59,759,1870,615020003056982
171,آب گنجشکی,0,,13,51,268,1099,604020002057384
172,آب گندو,0,,13,59,759,2567,615020006057084
173,آب لشکر سفلی,0,,13,59,759,1257,615020002056804
174,آب لشکر علیا,0,,13,59,759,1257,615020002056805
175,آب لشکر وسطی,0,,13,59,759,1257,615020002056806
176,آب ماران,0,,16,52,794,72,1101050001414957
177,آب مارو,0,,7,185,25,116,1803040001231795
178,آب مارو,0,,17,401,850,377,713030002373101
179,آب مارون,0,,13,183,345,1424,608010004061443
180,آب مایک گلزاری,0,,13,374,774,1083,617010001066552
181,آب مرغان,0,,31,61,1015,2297,2102020001921281
182,آب مژگان,0,,13,45,3,13,621010001065721
183,آب مشکین,1,5949,30,335,407,2409,1305030002210269
184,آب معدنی پودنا,0,,28,190,982,688,5010004800083
185,آب معدنی سپیدان,0,,17,238,835,960,706020001907034
186,آب معدنی ستاره سپیدان,0,,17,238,1091,1439,706030001907035
187,آب معدنی شش پیر,0,,17,238,835,1570,706020003907036
188,آب معدنی گوارا مکران,0,,16,52,794,873,1101050002911892
189,آب ملک,0,,13,374,214,623,617020001066553
190,آب موکو,0,,17,137,374,520,704020003807812
191,آب میخک,0,,7,185,676,1007,1803030004231743
192,آب مید,0,,13,183,403,1612,608040005061695
193,آب میشان,0,,13,46,42,2279,602010003054581
194,آب نارو,0,,23,97,893,433,1705020001227515
195,آب نرگسی,0,,13,394,541,579,613040001058372
196,آب نگون,0,,13,46,42,2279,602010003361145
197,آب نمرد,0,,16,120,1057,2474,1121020001412916
198,آب نیک,0,,13,51,363,1494,604040002057952
199,آب نیک,0,,13,374,214,813,617020002066554
200,آب نیلو,0,,7,186,397,1588,1804030001818016
201,آب هرزهله,0,,13,183,345,1424,608010004061444
202,آباد گیشکی,0,,21,200,1093,679,818020002380184
203,آبادان,0,,4,171,604,447,1023010001182422
204,آبادان,1,6570,16,52,252,8,1101060002189678
205,آبادان تپه,1,3338,24,371,926,52,2706040001022252
206,آبادان(گرگ خوشاپ),0,,16,242,806,1435,1123010002811082
207,آبادچی,0,,4,139,601,1934,1020020002176520
208,آبادسلیمان,0,,4,37,596,334,1002030002175109
209,آبادگران رهساز پرشیا,0,,13,85,101,407,605010002362353
210,آباده,0,,16,240,94,1974,1106050002199180
211,آباده,0,,27,135,554,2227,221010002802002
212,آباده طشک,0,,17,66,822,9,735010001373581
213,آبادی آبگرم کوار,1,6523,17,348,844,1769,728010001076995
214,آبادی امام زمان,0,,16,437,815,2303,1116010004416824
215,آبادی خروط,0,,16,225,803,745,1105010001411550
216,آبادی مجید,0,,13,277,396,1578,612030002065174
217,آبارا باشی,0,,2,141,662,719,414020002043346
218,آبانبار چاه کبکی,0,,31,448,304,191,2105040001821096
219,آبایگان,0,,16,311,808,1786,1119010001414002
220,آب‌باریک بالا,0,,26,41,78,338,1501060001216469
221,آب‌باریک‌ پایین,0,,26,41,78,338,1501060001216468
222,آبپای ارغوان,0,,7,185,106,509,1803050002231579
223,آبتاف,0,,26,157,949,1203,1503060004220840
224,آبجدان ابندر,0,,13,45,753,1874,621030002065702
225,آبچالکی,0,,25,380,943,1171,110010003013224
226,آبچکان,0,,16,52,252,8,1101060002189679
227,آبچگی,0,,16,242,1061,2493,1123040001413072
228,آبخوره,0,,2,111,660,2382,402010004040951
229,آبخوره,0,,18,91,259,1085,2601060001237162
230,آبخوری,0,,15,256,789,870,2002010001240254
231,آبدان,0,,17,137,826,658,704040001372004
232,آبدر,0,,26,71,947,1631,1502020002217571
233,آبدره,0,,18,15,855,840,2606010001236862
234,آبدنگسر,0,,25,380,39,2222,110020002013322
235,آبدوچال,0,,25,219,282,159,107020001010278
236,آبرسانی آب و برق,0,,13,184,766,895,609020002806070
237,آبرود,0,,25,312,343,1418,109030002013059
238,آبرومند,1,5932,30,93,1003,12,1307020004209773
239,آبریزک,0,,13,51,756,2324,604030006058373
240,آبریزک,0,,13,59,759,2567,615020006057085
241,آبریزکی,0,,13,45,3,2041,621010002058375
242,آبریزکی,0,,13,51,756,2324,604030006058374
243,آبزان,0,,16,189,800,2609,1112010003185926
244,آبژدان,0,,13,205,14,81,610050001063984
245,آبژدان سفلی,0,,13,205,14,81,610050001363005
246,آبژدان ملمولیل,0,,13,45,3,13,621010001065701
247,آبسر,0,,16,263,1094,2028,1114020002711496
248,آبشار,0,,13,205,297,640,610030001364485
249,آبشار,0,,16,311,528,2300,1119020002412153
250,آبشک,0,,16,433,813,2616,1107050004412286
251,آبشکی,0,,16,433,813,2314,1107050002191862
252,آبشور,0,,29,82,992,1512,2202040007520464
253,آبشیب,0,,17,175,831,2585,705030008075845
254,آبشیرینک,0,,13,59,759,2567,615020006057086
255,آبشینه,1,5955,30,443,1011,1485,1304070004210435
256,آبطویل,1,6607,7,88,196,728,1801030002231034
257,آبقه,1,5405,11,114,718,1945,904020002137872
258,آبک زیری حاج ده محمد,0,,16,415,557,2223,1117020002415747
259,آبک زیری حاجی علی,0,,16,415,557,2223,1117020002415746
260,آبکاس,0,,16,311,808,1786,1119010001187151
261,آبکبود,0,,13,45,199,2249,621020002061984
262,آبکبود سفلی,0,,13,45,199,2249,621020002061985
263,آبکبود وسطی,0,,13,45,199,2249,621020002061986
264,آبکش,0,,7,197,80,18,1805010003231896
265,آبکلایه 1,0,,9,377,296,1108,1404050002214828
266,آبکلایه 2,0,,9,377,296,1108,1404050002214829
267,آبکلو,0,,18,113,418,1107,2602030002233899
268,آبکویه,0,,17,175,177,1842,705050002075471
269,آبگاه,0,,13,277,771,1616,612020003065377
270,آبگاه,0,,16,433,813,2616,1107050004412274
271,آبگاه وانان,0,,16,433,813,2616,1107050004188075
272,آبگرم,0,,4,37,510,1319,1002020005174305
273,آبگرم,0,,4,127,486,1965,1019010001184054
274,آبگرم,0,,4,171,604,2484,1023010003182080
275,آبگرم,0,,2,141,662,718,414020001043347
276,آبگرم,0,,2,255,666,2023,405010006042719
277,آبگرم,0,,15,247,342,2589,2008010002241210
278,آبگرم,0,,21,138,158,2337,803020003095449
279,آبگرم,0,,27,14,559,309,201010001014844
280,آبگرم تدروییه,0,,29,74,990,2193,2209020003520845
281,آبگرم(چاه آبگرم),0,,16,52,84,360,1101010002185760
282,آبگرم1,0,,21,138,158,2337,803020003095448
283,آبگرمک,0,,7,133,675,2038,1809020002232304
284,آبگرمک,0,,13,45,199,756,621020001065724
285,آبگرمک,0,,13,59,1048,1437,615040001056872
286,آبگرمک,0,,13,374,214,623,617020001066555
287,آبگرمک سفلی,0,,13,277,771,1416,612020001065088
288,آبگرمک علیا,0,,13,277,771,1416,612020001065089
289,آبگرمک علیا,0,,13,277,771,1616,612020003065378
290,آب‌گرمک‌بالا,0,,26,41,315,2292,1501020003216240
291,آب‌گرمک‌پایین,0,,26,41,315,2292,1501020003216239
292,آبگرمو1,0,,21,77,83,1240,802070001093016
293,آبگرمو2,0,,21,77,83,1240,802070001093017
294,آبگلمان,0,,29,82,140,1586,2202050002822106
295,آبگنجی,0,,13,277,771,1616,612020003065448
296,آبگون,0,,13,46,42,1907,602010002054684
297,آبگیشان,0,,16,433,813,2314,1107050002412243
298,آبلس,0,,2,111,660,535,402010001040751
299,آبمعدنی زاگرس,0,,17,238,835,960,706020001907097
300,آبند,0,,16,325,328,1360,1118020001191435
301,آبنما,0,,29,216,998,7,2207020001822114
302,آبنیک گهرد,0,,21,264,93,384,806050001384762
303,آبونان,0,,16,242,1053,2464,1123030001189192
304,آبویار,0,,25,213,128,1168,114010001011538
305,آبهندو,0,,30,443,1011,2184,1304070005210485
306,آبید,0,,13,51,363,1493,604040001057956
307,آبید,0,,13,59,1048,1437,615040001056873
308,آبید,0,,13,183,345,1424,608010004061446
309,آبیدسری یک,0,,13,183,403,1612,608040005061694
310,آبیدشت,0,,13,394,775,700,613030002067172
311,آبیدلطفعلی,0,,13,183,345,1424,608010004061447
312,آبیک سفلی,0,,18,4,854,1338,2604020001236663
313,آبیک علیا,0,,18,4,854,1338,2604020001236664
314,آبیل,0,,16,434,814,102,1115010001414186
315,آبیل پل رنده,0,,16,447,816,2277,1111010002412991
316,آپاتان,0,,16,242,524,2112,1123020001188794
317,آپاتان,0,,16,263,807,1513,1114010001198637
318,آپارنگ,0,,16,311,808,2336,1119010002416164
319,آپان گرمو,0,,16,311,808,1786,1119010001187320
320,آپان گرمو(زبان گرمو),0,,16,311,808,1786,1119010001412105
321,آپک بهاء الدین,0,,16,152,129,514,1103040001842138
322,آپک جوشان,0,,16,415,557,2223,1117020002411523
323,آپک سیاهان,0,,16,152,798,2057,1103010005911205
324,آت دره سی,0,,2,411,63,21,408050002045139
325,آتابلاغی,0,,2,89,375,28,410010002044175
326,آتان,0,,18,322,288,181,2603020002237718
327,آتان رود,0,,18,322,288,181,2603020002237719
328,آتباتان,0,,1,73,638,2407,313020005029448
329,آترانمار,0,,25,291,223,903,104060001310071
330,آتش انبار,0,,18,113,234,171,2602020001233319
331,آتش سرا,0,,25,380,39,2222,110020002013323
332,آتشکده سیاه گل,0,,6,54,312,1998,1607010001816137
333,آتشکوه,0,,28,387,988,297,9010001007587
334,آتشگاه,0,,25,211,933,503,105050001009097
335,آتشگاه شهید مرادی,0,,23,379,899,1694,1708010001817059
336,آتشگی,0,,25,262,272,1166,115010002013568
337,آثار باستانی زیویه,0,,20,252,326,2163,1203010004812019
338,آثار باستانی قلعه طور,0,,20,98,480,1947,1202020002420478
339,آثارتاریخی تنگاب,0,,17,314,841,95,709030001907365
340,آج بیشه,0,,25,211,933,885,105050003801041
341,آجر زرنما ( خبیری),0,,31,414,1020,1603,2106010002821787
342,آجر ماشینی هویزه,0,,13,446,778,2614,623020001364364
343,آجربنابان,0,,4,68,213,1541,1022010002173269
344,آجربند,0,,18,322,858,174,2603050002238593
345,آجرپزی ایران/علی آباد2,0,,3,20,584,314,2401010002824007
346,آجرلو,0,,30,300,135,543,1309020001210018
347,آجرماشینی شیخ زاده,0,,2,255,666,2023,405010006804117
348,آجی بوزایه,0,,25,211,564,2159,105040003008891
349,آجی چای,0,,20,321,350,1858,1205030001205347
350,آچکیدر,0,,16,242,806,1403,1123010001416838
351,آچوبازار,0,,16,143,797,540,1102020001416434
352,آچه,0,,25,219,282,1210,107020003010866
353,آچی دره,0,,2,404,241,1925,407010001044306
354,آختاخانه,0,,2,255,666,2248,405010007042749
355,آخکند,0,,20,199,863,1817,1207020005204939
356,آخکند,0,,20,252,865,1388,1203020003203715
357,آخوند محله,0,,25,380,943,1171,110010003310221
358,آخوندزاده,0,,16,447,816,698,1111010003411323
359,آخوندملک,0,,25,219,282,1210,107020003010867
360,آخی جان,0,,2,271,487,788,411020003045277
361,آخی کمال,0,,20,195,862,2636,1210010001205125
362,آدار,0,,18,15,855,840,2606010001236865
363,آدرامند,0,,28,228,232,1115,10010003002824
364,آدشته,1,3261,28,168,452,628,12010002000606
365,آدم آباد,0,,16,202,124,2387,1108050003711179
366,آدم آباد بلوچی نو,0,,16,143,131,523,1102040001191199
367,آدوری,0,,21,299,884,1996,822010001385141
368,آده,0,,2,423,577,182,409030001046039
369,آده بزرگ,0,,2,26,1056,1688,401050001040296
370,آدی یامان,0,,2,174,664,1158,403020003041323
371,آدینان,0,,20,252,326,1639,1203010005203534
372,آدینه مسجدبالا,0,,28,269,307,1283,7030002004890
373,آدینه مسجدپایین,0,,28,269,307,1283,7030002004891
374,آذرآباد,0,,16,189,169,663,1112020001185927
375,آذرچه,0,,25,262,937,599,115020001013626
376,آذرخواران(حبیب آباد),1,5680,4,37,160,638,1002010003173716
377,آراسنج جدید,1,3885,18,91,856,1335,2601040004237423
378,آراسنج قدیم,0,,18,91,856,1335,2601040004237422
379,آراقلعه,0,,28,236,1070,448,6040002004588
380,آراقویی,0,,24,371,250,86,2706020001021652
381,آرام,0,,13,45,753,1579,621030001065740
382,آرامکان,0,,16,242,806,1403,1123010001189008
383,آران,0,,23,90,477,768,1701050001817045
384,آرپاچایی,0,,2,122,141,93,412020001037020
385,آرپادره,0,,30,209,344,1420,1308010003236866
386,آرپادره سی,0,,1,399,571,2269,320010002031721
387,آرپالیخ,0,,2,278,453,1838,417010002042985
388,آرتیمان,1,4017,30,125,1004,907,1301020001207258
389,آرجان,0,,4,366,613,659,1011010001180754
390,آرخاشان (ارخشان),0,,2,141,260,64,414010002043163
391,آرزومند,0,,28,302,244,581,13020002001498
392,آرشت,0,,18,322,517,260,2603070001233904
393,آرمتلو,0,,14,50,218,251,1906010001235282
394,آرنجپا,0,,25,382,382,1549,116010001011750
395,آرند,0,,4,418,616,2074,1013030003183587
396,آرندان,1,5875,20,259,866,33,1204030002204360
397,آرو,1,5117,8,191,687,76,2302020001259164
398,آروچان,0,,18,15,5,19,2606020001233753
399,آرونقاش,0,,18,113,418,1106,2602030001233754
400,آریا آباد,0,,31,16,1012,1757,2107020002821035
401,آریا تراورتن,0,,31,16,1012,611,2107020001921478
402,آریا دشت - مزرعه مهابادی,0,,4,21,1039,2147,1001030001810472
403,آریان,0,,20,250,864,485,1209020003205922
404,آزاتی,0,,16,202,801,655,1108030004188427
405,آزاد,0,,2,404,670,2361,407020002044410
406,آزاد بخت‌ کره ‌پا بالا,0,,26,352,954,2053,1506030001220250
407,آزاد بخت‌ کره ‌پا پایین,0,,26,352,954,2053,1506030001220249
408,آزاد رود,0,,18,322,288,180,2603020001237720
409,آزاد مرزآباد,0,,28,19,977,2349,1020008000037
410,آزاد ویس سفلی,0,,20,98,480,1947,1202020002202696
411,آزاد ویس علیا,0,,20,98,480,1947,1202020002202697
412,آزادآباد,0,,16,152,129,466,1103040002410837
413,آزادآباد پیر دوستی,0,,26,188,472,247,1504010002451249
414,آزادان,0,,4,366,613,2024,1011010002180903
415,آزادخان,0,,26,147,198,571,1510010001219078
416,آزادده,0,,18,113,418,1106,2602030001233759
417,آزادده,0,,18,322,517,261,2603070002233468
418,آزادکور,0,,16,240,1043,2082,1106060001411851
419,آزادگز,0,,16,325,809,2593,1118010002186698
420,آزادنارویی,0,,16,447,816,1116,1111010001194330
421,آزادی,0,,13,184,766,900,609020003362853
422,آزادی,0,,16,437,151,2051,1116020002194220
423,آزادی(دیوانه),0,,16,437,815,2303,1116010004194304
424,آزاربن سفلی,0,,25,42,277,1558,113010002009933
425,آزاربن علیا,0,,25,42,277,1558,113010002009934
426,آزارستان,0,,25,376,942,68,111020001013934
427,آزارستانک,0,,25,262,272,1166,115010002013505
428,آزارستانکی,0,,25,376,942,68,111020001013935
429,آزارکی,0,,25,219,282,1210,107020003010869
430,آزانبار,0,,18,15,855,840,2606010001236868
431,آزباغ,0,,16,433,560,2229,1107040002187519
432,آس حاجی,0,,16,447,450,1821,1111020001194631
433,آس قاضی,0,,16,231,165,645,1110010001411186
434,آسان کوک,0,,16,52,84,360,1101010002185761
435,آسانو,0,,16,52,794,72,1101050001189435
436,آساوله,1,6674,20,259,866,880,1204030004204391
437,آساوله,0,,20,334,1034,1487,1208020002421759
438,آسایشگاه مهر,0,,2,26,656,378,401040005804861
439,آسپیچ,1,3863,16,240,805,874,1106040002199499
440,آستانه,0,,15,177,788,1242,2001020003239770
441,آسته سر,0,,25,213,934,988,114020001011751
442,آستین در سردشت,0,,18,322,517,261,2603070002233398
443,آستین در سفلی,0,,18,322,517,261,2603070002233399
444,آستین در علیا,0,,18,322,517,261,2603070002233400
445,آستین در وسطی,0,,18,322,517,261,2603070002535696
446,آسفستان,0,,18,322,517,261,2603070002233906
447,آسفیج,1,4184,31,92,8,42,2111010001101971
448,آسک,0,,16,447,450,176,1111020002194889
449,آسک,0,,16,447,816,2277,1111010002412994
450,آسکوه,0,,16,225,1064,2498,1105030002416728
451,آسمان بلاغی,0,,2,122,661,223,412010002202573
452,آسمان دره,0,,20,334,1034,208,1208020001421701
453,آسمانجرد,0,,17,161,829,2161,734010001073810
454,آسمانک,0,,7,186,677,2326,1804020003818023
455,آسن آباد,0,,2,36,1059,162,413020001045889
456,آسن آباد,0,,20,393,227,921,1206010001205741
457,آسو,0,,25,262,937,599,115020001013631
458,آسیاب,0,,13,43,752,44,616020001060170
459,آسیاب,0,,13,394,430,1730,613050001067430
460,آسیاب آباد,0,,16,242,806,1435,1123010002711394
461,آسیاب برک,0,,18,322,517,261,2603070002826026
462,آسیاب پرویزی,0,,17,331,843,388,710040001807088
463,آسیاب جوب,0,,20,195,862,891,1210010002205128
464,آسیاب دره,0,,25,219,282,159,107020001010280
465,آسیاب دوسنگی محمدآباد,0,,31,414,1020,1603,2106010002821936
466,آسیاب سر,0,,25,262,272,541,115010001010167
467,آسیاب شکسته,0,,13,394,541,579,613040001058376
468,آسیاب شم,0,,25,291,29,931,104050003801010
469,آسیاب فیخار,0,,15,177,47,1903,2001010002239287
470,آسیاب مظفر,0,,7,197,2,1438,1805030002480951
471,آسیابر,0,,25,262,272,1166,115010002013508
472,آسیابرک,0,,25,217,247,981,106040001009462
473,آسیابرک,0,,25,262,272,1166,115010002013509
474,آسیابسر,0,,25,287,939,1671,108020002011393
475,آسیابسران,0,,25,42,277,1558,113010002010642
476,آسیابک بند,0,,28,236,984,2523,6030004003873
477,آسیان,0,,18,15,5,19,2606020001237000
478,آسینگران,0,,2,26,416,335,401030001039508
479,آش کلان,0,,2,89,658,25,410020001044295
480,آش محله,0,,27,123,233,1500,205040003018206
481,آشاق قلعه,0,,30,398,183,565,1302010003207993
482,آشتجین,0,,18,113,857,1808,2602040001233907
483,آشتی بلاغ,0,,2,271,487,788,411020003045278
484,آشنا آباد,0,,2,26,656,1263,401040008040214
485,آشناخور,0,,28,165,980,47,4010001001710
486,آشنستان,1,3196,18,322,858,173,2603050001238599
487,آشور,0,,7,124,674,242,1802020001231180
488,آشور محمدی,0,,24,342,136,1286,2709030001827030
489,آشورآباد,0,,24,118,368,1835,2702030002325705
490,آشی,0,,7,124,674,242,1802020001231310
491,آشیان,0,,25,380,39,167,110020001013326
492,آشیانک,0,,28,236,984,1554,6030001004594
493,آشیانه سفلی,0,,28,165,980,843,4010003000264
494,آشیانه علیا,0,,28,165,980,843,4010003000265
495,آشیک,0,,2,26,373,567,401020001039278
