id,name,abadi_type,diag,ostan,shahrestan,bakhsh,dehestan,amar_code
43914,روتوند,0,,22,32,219,2378,501010002047712
43915,روتوند,0,,22,215,906,1282,514020004047290
43916,روته,0,,8,275,290,1248,2304010001260056
43917,روجی کلوم,0,,27,55,99,1797,202030002016094
43918,روچ بالا,0,,18,322,288,181,2603020002237758
43919,روچ پایین,0,,18,322,288,181,2603020002237757
43920,روچ دره,0,,18,322,288,181,2603020002237756
43921,روچ سفلی,0,,23,379,899,1695,1708010002229162
43922,روچک,0,,23,355,189,1692,1702020004228705
43923,روچکان,0,,16,433,813,2616,1107050004412257
43924,روچون سفلی,0,,21,264,125,480,806020001105406
43925,روچون علیا,0,,21,264,125,480,806020001105407
43926,روچی,0,,11,369,469,1341,915030001161896
43927,روح آباد,0,,11,212,729,40,927020001139315
43928,روح آباد,0,,18,322,289,1246,2603030001237959
43929,روح اباد,0,,11,69,48,1648,923010002158163
43930,روح اباد,0,,11,117,720,493,905060002142203
43931,روح اباد,0,,11,396,741,2430,916050004398923
43932,روح اباد,0,,11,432,743,1021,917040001168702
43933,روح اباد,0,,11,432,743,1276,917040002169108
43934,روح اباد,0,,21,279,267,925,807020002109101
43935,روح اباد /رودخر/,0,,11,212,729,1227,927020002392431
43936,روح اله,0,,22,339,119,507,502080002048739
43937,روح کندی,1,6140,3,101,455,1853,2402020002034198
43938,روحی,0,,16,52,794,72,1101050001412502
43939,روحی اباد,0,,21,338,887,1027,808050004112881
43940,رود,0,,11,432,743,1781,917040003169375
43941,رود آباد,0,,25,217,281,1209,106010003009719
43942,رود بست,1,4348,27,56,957,268,216020002015865
43943,رود بن,0,,16,242,1061,2493,1123040001416515
43944,رود شور,0,,7,370,302,1254,1807020001232816
43945,رود شیرریز انبوه,0,,17,238,835,960,706020001084837
43946,رودآباد,0,,4,257,122,474,1005010001175959
43947,رودآور,0,,30,125,1004,907,1301020001207263
43948,روداب,0,,10,290,256,2062,2911010002151094
43949,روداب,0,,11,237,286,974,908050001147458
43950,روداب,0,,21,138,158,1231,803020001094709
43951,روداب بالا,0,,21,296,159,2146,812030001094976
43952,روداب سفلی,0,,21,296,159,2146,812030001381654
43953,روداب وسطی,0,,21,296,159,2146,812030001381653
43954,رودارود,0,,9,357,1058,2477,1407020001210861
43955,رودافشان,0,,8,191,687,76,2302020001258963
43956,رودان,0,,16,52,794,873,1101050002414576
43957,رودان,0,,16,242,806,1435,1123010002410222
43958,رودان چاران,0,,16,311,808,1786,1119010001187193
43959,رودانی کور,0,,16,242,806,1435,1123010002410235
43960,رودایوک دارخیاری,0,,23,355,271,432,1702060002227903
43961,رودبار,0,,4,306,610,517,1007010002177392
